northern_virginia,sao_paulo,frankfurt,seoul,sidney,media,minimo
143,209,112,127,210,160.2,112.0
123,210,121,200,212,173.2,121.0
117,175,85,192,209,155.6,85.0
61,113,80,135,134,104.6,61.0
64,199,2153,1186,698,860.0,64.0
114,165,78,190,210,151.4,78.0
52,104,78,125,132,98.2,52.0
800,1069,990,1249,1140,1049.6,800.0
154,220,125,224,266,197.8,125.0
112,172,81,187,216,153.6,81.0
51,108,83,131,129,100.4,51.0
49,111,77,126,142,101.0,49.0
156,220,122,128,219,169.0,122.0
127,187,94,199,218,165.0,94.0
49,111,80,117,131,97.6,49.0
59,109,91,145,685,217.8,59.0
54,97,90,138,144,104.6,54.0
51,116,83,129,142,104.2,51.0
106,187,77,187,216,154.6,77.0
159,271,177,186,265,211.6,159.0
533,902,1081,1619,1479,1122.8,533.0
72,155,116,153,185,136.2,72.0
71,111,85,144,172,116.6,71.0
88,164,95,152,183,136.4,88.0
49,115,82,127,146,103.8,49.0
144,1659,136,227,256,484.4,136.0
44,101,80,130,137,98.4,44.0
113,176,78,190,212,153.8,78.0
113,177,81,186,207,152.8,81.0
2449,2827,1299,1309,1306,1838.0,1299.0
58,104,95,138,147,108.4,58.0
126,157,124,189,188,156.8,124.0
121,192,150,196,243,180.4,121.0
136,210,188,1584,266,476.8,136.0
46,92,83,113,143,95.4,46.0
95,147,116,145,27854,5671.4,95.0
272,327,276,1251,264,478.0,264.0
106,1190,113,1237,1411,811.4,106.0
583,1348,1328,1423,1582,1252.8,583.0
95,139,129,152,202,143.4,95.0
165,224,146,213,259,201.4,146.0
186,466,309,299,1265,505.0,186.0
57,119,79,128,144,105.4,57.0
101,162,120,174,187,148.8,101.0
39,96,73,118,133,91.8,39.0
115,184,134,157,183,154.6,115.0
146,216,122,220,251,191.0,122.0
96,661,355,1997,410,703.8,96.0
113,163,108,167,195,149.2,108.0
65,115,96,144,167,117.4,65.0
100,184,80,191,212,153.4,80.0
143,211,122,204,262,188.4,122.0
115,171,84,183,229,156.4,84.0
109,165,127,173,176,150.0,109.0
2634,144,115,164,183,648.0,115.0
50,96,79,121,144,98.0,50.0
109,166,79,182,215,150.2,79.0
1005,1776,1419,1375,1446,1404.2,1005.0
756,130,129,144,177,267.2,129.0
103,146,98,156,187,138.0,98.0
258,952,912,904,1587,922.6,258.0
70,102,78,135,153,107.6,70.0
44,103,78,132,142,99.8,44.0
48,423,289,380,184,264.8,48.0
94,146,121,156,192,141.8,94.0
943,1853,1406,1572,1717,1498.2,943.0
102,157,72,181,186,139.6,72.0
154,219,124,234,257,197.6,124.0
111,170,255,240,227,200.6,111.0
42,95,79,128,133,95.4,42.0
76,110,86,134,165,114.2,76.0
56,110,82,136,147,106.2,56.0
850,1532,1330,1672,1464,1369.6,850.0
164,213,173,827,1661,607.6,164.0
362,243,162,226,273,253.2,162.0
238,306,209,312,347,282.4,209.0
276,373,249,355,380,326.6,249.0
110,161,99,178,187,147.0,99.0
170,208,173,239,248,207.6,170.0
200,275,181,275,311,248.4,181.0
204,266,223,270,283,249.2,204.0
145,190,164,217,226,188.4,145.0
367,439,337,440,470,410.6,337.0
127,158,145,196,195,164.2,127.0
184,254,149,265,293,229.0,149.0
253,314,215,297,333,282.4,215.0
349956,165,161,217,221,70144.0,161.0
141,183,121,206,209,172.0,121.0
598,664,561,580,689,618.4,561.0
444,502,408,523,813,538.0,408.0
106,165,136,179,191,155.4,106.0
594,652,568,650,682,629.2,568.0
135,231,148,206,231,190.2,135.0
158,242,127,211,262,200.0,127.0
163,181,147,175,229,179.0,147.0
190,223,178,221,250,212.4,178.0
202,239,223,260,278,240.4,202.0
1687,1719,1700,1718,1768,1718.4,1687.0
183,300,178,257,278,239.2,178.0
238,283,7760,300,318,1779.8,238.0
233,277,217,276,290,258.6,217.0
439,1093,1084,951,1120,937.4,439.0
212,261,206,243,280,240.4,206.0
187,216,163,208,262,207.2,163.0
213,257,191,225,290,235.2,191.0
217,269,209,244,288,245.4,209.0
241,309,203,295,348,279.2,203.0
481,577,442,498,579,515.4,442.0
217,260,245,283,288,258.6,217.0
206,268,168,235,288,233.0,168.0
138,176,107,185,205,162.2,107.0
261,449,287,304,464,353.0,261.0
423,385,539,299,511,431.4,299.0
153,350,135,193,298,225.8,135.0
103,408,200,435,228,274.8,103.0
97,144,125,161,177,140.8,97.0
117,149,100,182,187,147.0,100.0
183,222,218,253,259,227.0,183.0
214,278,171,273,299,247.0,171.0
100,140,112,170,172,138.8,100.0
97,141,79,129,170,123.2,79.0
94,137,94,128,174,125.4,94.0
107,169,106,134,226,148.4,106.0
153,196,180,145,223,179.4,145.0
177,211,198,238,268,218.4,177.0
172,269,155,280,287,232.6,155.0
216,282,195,280,325,259.6,195.0
229,302,217,301,338,277.4,217.0
171,231,144,203,268,203.4,144.0
110,183,94,199,222,161.6,94.0
576,697,704,263,1362,720.4,263.0
86,128,116,167,174,134.2,86.0
117,175,119,153,205,153.8,117.0
236,272,241,287,303,267.8,236.0
186,232,205,260,261,228.8,186.0
246,315,209,316,346,286.4,209.0
202,250,233,276,291,250.4,202.0
171,229,195,251,271,223.4,171.0
258,298,278,307,332,294.6,258.0
210,279,186,256,310,248.2,186.0
191,239,189,245,271,227.0,189.0
151,222,125,226,260,196.8,125.0
573,1112,1302,1407,1189,1116.6,573.0
213,282,186,295,324,260.0,186.0
187,258,171,278,306,240.0,171.0
365,412,374,405,433,397.8,365.0
196,238,215,260,269,235.6,196.0
319,380,351,401,449,380.0,319.0
154,189,167,211,222,188.6,154.0
303,346,321,372,380,344.4,303.0
165,211,162,223,233,198.8,162.0
228,269,216,281,288,256.4,216.0
179,252,149,160,236,195.2,149.0
147,198,151,204,231,186.2,147.0
205,501,179,292,311,297.6,179.0
293,323,312,354,368,330.0,293.0
212,279,192,285,306,254.8,192.0
215,284,188,291,320,259.6,188.0
215,274,196,286,307,255.6,196.0
3731,313,225,287,345,980.2,225.0
220,288,199,227,302,247.2,199.0
217,287,188,231,301,244.8,188.0
121,194,96,128,204,148.6,96.0
181,255,159,242,292,225.8,159.0
140,196,164,210,212,184.4,140.0
151,217,171,212,227,195.6,151.0
303,362,278,285,331,311.8,278.0
210,266,188,287,308,251.8,188.0
229,299,202,253,335,263.6,202.0
363,598,540,621,692,562.8,363.0
218,286,199,241,314,251.6,199.0
199,264,169,2122,197,590.2,169.0
132,164,108,162,205,154.2,108.0
111,175,83,150,217,147.2,83.0
286,332,256,288,338,300.0,256.0
120,179,98,116,190,140.6,98.0
104,150,128,110,186,135.6,104.0
155,192,165,123,201,167.2,123.0
76,130,90,153,165,122.8,76.0
118,139,89,147,180,134.6,89.0
104,171,79,161,213,145.6,79.0
119,187,117,151,526,220.0,117.0
97,172,74,110,184,127.4,74.0
99,168,85,185,211,149.6,85.0
167,194,136,213,239,189.8,136.0
675,1391,1812,374,727,995.8,374.0
301,361,272,215,293,288.4,215.0
167,233,140,235,259,206.8,140.0
264,293,214,322,341,286.8,214.0
123,159,105,166,202,151.0,105.0
141,202,116,222,250,186.2,116.0
131,196,127,209,234,179.4,127.0
224,296,227,250,330,265.4,224.0
182,263,157,258,281,228.2,157.0
146,210,119,207,229,182.2,119.0
299,340,271,202,266,275.6,202.0
151,199,121,201,228,180.0,121.0
399,458,378,423,487,429.0,378.0
133,187,106,111,184,144.2,106.0
98,160,113,131,188,138.0,98.0
150,211,175,190,232,191.6,150.0
64625,108,90,133,145,13020.2,90.0
129,171,121,188,202,162.2,121.0
372,1126,1007,799,988,858.4,372.0
147,214,140,131,205,167.4,131.0
136,214,144,225,246,193.0,136.0
137,173,129,189,201,165.8,129.0
179,217,187,135,211,185.8,135.0
164,223,135,236,268,205.2,135.0
142,182,142,114,193,154.6,114.0
206,273,345,283,314,284.2,206.0
814,769,1155,543,870,830.2,543.0
75,104,78,137,147,108.2,75.0
127,222,115,178,228,174.0,115.0
2351,294,231,290,320,697.2,231.0
224,308,200,259,311,260.4,200.0
2007,1511,1151,1003,1408,1416.0,1003.0
71,124,86,142,147,114.0,71.0
156,236,128,231,258,201.8,128.0
152,219,141,116,190,163.6,116.0
166,254,140,245,286,218.2,140.0
284,146,19197,154,1605,4277.2,146.0
112,181,87,156,204,148.0,87.0
264,346,238,223,297,273.6,223.0
110,215,87,210,218,168.0,87.0
141,186,114,149,215,161.0,114.0
64,105,78,130,135,102.4,64.0
202,475,364,468,358,373.4,202.0
104,150,101,138,160,130.6,101.0
161,238,131,249,265,208.8,131.0
86,125,95,127,159,118.4,86.0
157,213,190,123,205,177.6,123.0
92,140,150,109,170,132.2,92.0
111,150,111,137,184,138.6,111.0
120,165,118,166,188,151.4,118.0
158,222,136,110,183,161.8,110.0
755,869,540,771,776,742.2,540.0
105,159,113,117,176,134.0,105.0
1850,494,19079,172,541,4427.2,172.0
162,216,133,122,205,167.6,122.0
116,202,87,144,195,148.8,87.0
103,152,120,163,177,143.0,103.0
164,173,169,185,270,192.2,164.0
69,97,66,117,126,95.0,66.0
110,136,107,110,179,128.4,107.0
149,3855,168,155,204,906.2,149.0
99,148,355,139,155,179.2,99.0
94,120,98,110,160,116.4,94.0
157,179,137,195,202,174.0,137.0
956,1032,1194,913,838,986.6,838.0
74,109,81,125,136,105.0,74.0
196,270,178,217,298,231.8,178.0
126,149,107,139,179,140.0,107.0
149,7402,138,161,240,1618.0,138.0
138,174,163,140,217,166.4,138.0
568,193,136,142,216,251.0,136.0
63,90,69,123,131,95.2,63.0
85,141,116,110,164,123.2,85.0
251,281,903,493,517,489.0,251.0
1075,292,226,242,282,423.4,226.0
109,161,123,163,186,148.4,109.0
101482,209,131,125,199,20429.2,125.0
83,137,108,139,172,127.8,83.0
117,149,106,7885,198,1691.0,106.0
121,188,103,192,230,166.8,103.0
93,168,121,174,193,149.8,93.0
212,265,186,245,269,235.4,186.0
341,396,306,406,436,377.0,306.0
90,160,128,160,191,145.8,90.0
194,227,186,252,245,220.8,186.0
101,170,126,180,198,155.0,101.0
66,125,109,135,157,118.4,66.0
129,176,107,136,210,151.6,107.0
667,443,306,151,207,354.8,151.0
331,391,302,279,327,326.0,279.0
113,170,130,138,199,150.0,113.0
69,121,74,139,143,109.2,69.0
108,150,114,169,190,146.2,108.0
179,226,138,175,199,183.4,138.0
221,302,249,192,251,243.0,192.0
395,243,217,243,713,362.2,217.0
149,200,179,234,238,200.0,149.0
171,232,152,248,272,215.0,152.0
247,279,265,282,323,279.2,247.0
133,158,87,186,199,152.6,87.0
128,153,117,126,194,143.6,117.0
143,146,132,152,189,152.4,132.0
166,164,303,255,267,231.0,164.0
142,162,123,155,209,158.2,123.0
122,174,89,204,216,161.0,89.0
105,161,85,136,204,138.2,85.0
210,273,182,270,312,249.4,182.0
108,153,81,173,202,143.4,81.0
65,91,68,126,140,98.0,65.0
83,116,83,129,153,112.8,83.0
123,164,94,193,210,156.8,94.0
112,155,79,137,198,136.2,79.0
126,144,127,147,186,146.0,126.0
116,164,105,137,206,145.6,105.0
101,132,115,141,167,131.2,101.0
1954096,852336,1951214,1950855,1950818,1731863.8,852336.0
454025,495,125,450794,175,181122.8,125.0
115,186,84,181,206,154.4,84.0
102,109,66,126,145,109.6,66.0
109,136,118,151,177,138.2,109.0
109,136,83,147,156,126.2,83.0
444,172,713,792,453,514.8,172.0
127,181,95,187,232,164.4,95.0
100,133,116,169,180,139.6,100.0
122,163,89,144,204,144.4,89.0
186,207,187,228,241,209.8,186.0
111,172,77,150,205,143.0,77.0
154,160,134,178,199,165.0,134.0
274,311,273,166,243,253.4,166.0
143,161,146,144,204,159.6,143.0
168,226,141,132,210,175.4,132.0
389,389,172,243,289,296.4,172.0
591,255,232,1114,915,621.4,232.0
719,885,983,1136,546,853.8,546.0
136,199,123,144,221,164.6,123.0
92,147,131,178,185,146.6,92.0
148,160,139,195,199,168.2,139.0
102,133,116,149,172,134.4,102.0
120,188,102,200,224,166.8,102.0
124,171,86,155,212,149.6,86.0
308,313,295,322,359,319.4,295.0
297,358,319,386,398,351.6,297.0
130,406,554,379,487,391.2,130.0
88,142,111,164,178,136.6,88.0
124,181,96,147,208,151.2,96.0
340,358,311,308,382,339.8,308.0
135,168,148,175,204,166.0,135.0
208,233,219,252,277,237.8,208.0
1071,392,347,386,429,525.0,347.0
349,353,324,366,395,357.4,324.0
80,102,79,126,143,106.0,79.0
195,257,159,307,300,243.6,159.0
149,128,118,162,167,144.8,118.0
150,218,134,225,253,196.0,134.0
118,138,102,131,174,132.6,102.0
66,101,71,211,287,147.2,66.0
248,269,243,119,201,216.0,119.0
115,168,84,108,185,132.0,84.0
106,143,127,159,186,144.2,106.0
157,223,135,238,286,207.8,135.0
102,144,98,166,180,138.0,98.0
146,208,119,170,204,169.4,119.0
177,229,149,160,204,183.8,149.0
117,166,151,199,213,169.2,117.0
161,220,139,123,208,170.2,123.0
101,141,114,165,186,141.4,101.0
117,185,92,168,215,155.4,92.0
144,190,151,153,200,167.6,144.0
91,102,84,137,136,110.0,84.0
127,183,133,192,225,172.0,127.0
207,268,224,114,180,198.6,114.0
168,229,146,139,216,179.6,139.0
78,124,81,141,158,116.4,78.0
4632,262,29077,114,188,6854.6,114.0
151,215,133,153,225,175.4,133.0
716,722,858,358,569,644.6,358.0
124,188,97,186,229,164.8,97.0
144,320,123,211,256,210.8,123.0
187,229,160,182,229,197.4,160.0
242,219,133,225,275,218.8,133.0
134,189,97,194,237,170.2,97.0
144,2815,118,176,190,688.6,118.0
366,418,467,284,560,419.0,284.0
156,216,211,225,234,208.4,156.0
272,327,231,218,302,270.0,218.0
619,679,232,367,284,436.2,232.0
172,171,166,200,212,184.2,166.0
124,168,120,165,210,157.4,120.0
118,178,92,161,199,149.6,92.0
247,257,883,423,213,404.6,213.0
107,114,89,144,163,123.4,89.0
114,169,86,151,214,146.8,86.0
98,158,95,166,197,142.8,95.0
121,469,94,168,208,212.0,94.0
245,287,242,137,209,224.0,137.0
81,99,69,119,141,101.8,69.0
144,154,124,183,201,161.2,124.0
131,142,124,176,195,153.6,124.0
140,190,95,260,238,184.6,95.0
171,189,162,201,209,186.4,162.0
62,91,70,127,142,98.4,62.0
393,418,364,329,359,372.6,329.0
119,186,88,183,224,160.0,88.0
161,175,158,207,208,181.8,158.0
113,172,89,183,221,155.6,89.0
312,317,295,349,365,327.6,295.0
96,131,94,161,174,131.2,94.0
222,100,86,123,144,135.0,86.0
49,94,75,131,141,98.0,49.0
220,262,224,117,191,202.8,117.0
